Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7, C9",0603,5,1000p,C71653
"C10, C2, C4, C6, C8",0603,5,100n,C77055
C11,0603,1,20p,C126554
IC1,TSSOP-14_4.4x5mm_P0.65mm,1,74LCX125MTCX,C141450
J1,PinSocket_2x05_P2.54mm_Horizontal,1,Previous,C5142480
J2,PinHeader_2x05_P2.54mm_Horizontal,1,Next,C60563
J3,PinHeader_2x06_P2.00mm_Vertical,1,MCHStreamer J3,C225291
"L1, L2, L3, L4, L5",0603,5,600R,C2971884
"MK1, MK2, MK3, MK4",PG-LLGA-5-2_INF,4,IM73D122V01XTMA1,C5563886
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R6, R7, R8, R9",0603,13,33,C23140
