Designator,Mid X,Mid Y,Rotation,Layer
C1,85.8,-85.5,0.0,top
C10,100.8,-49.7,45.0,top
C2,85.8,-84.0,0.0,top
C3,97.5,-62.4,0.0,top
C4,97.5,-60.9,0.0,top
C5,111.0,-49.0,0.0,top
C6,111.0,-47.5,0.0,top
C7,136.2,-35.4,270.0,top
C8,134.7,-35.4,270.0,top
C9,101.9,-50.7,45.0,top
IC1,103.9,-55.1,315.0,top
J1,83.14,-97.085,90.0,top
J2,147.15,-33.095,0.0,top
J3,85.99,-70.59,180.0,top
L1,87.6,-81.9,0.0,top
L2,97.5,-59.4,180.0,top
L3,111.0,-50.5,180.0,top
L4,133.2,-35.2625,90.0,top
L5,104.3,-50.7,45.0,top
MK1,89.191313,-87.9045,78.75,top
MK2,98.448884,-65.554646,56.25,top
MK3,115.554646,-48.448884,33.75,top
MK4,137.9044,-39.191313,11.25,top
R1,89.0,-84.5,270.0,top
R10,101.2,-60.3,0.0,top
R11,106.0,-57.0,45.0,top
R12,106.8,-50.1,90.0,top
R13,108.3,-50.1,90.0,top
R2,85.0,-88.0,180.0,top
R3,100.3,-62.7,270.0,top
R4,95.4,-67.5,270.0,top
R5,117.5,-45.5,270.0,top
R6,113.75,-45.0,90.0,top
R7,138.1,-35.2,270.0,top
R8,133.8,-38.0,180.0,top
R9,101.9,-53.1,45.0,top
